

Data
Lateral(µm),Raw(nm),,
0,3.81523230494096,,
0.0941276401281357,8.68560975383303,,
0.188255280256271,9.83790111263971,,
0.282382905483246,7.19583791272171,,
0.376510560512543,2.15608593444116,,
0.47063821554184,10.749316286482,,
0.564765810966492,19.223377068478,,
0.658893465995789,16.7648348565841,,
0.753021121025085,11.1030184747705,,
0.847148776054382,9.46912869054728,,
0.941276431083679,14.6707971796438,,
1.03540408611298,7.12848725611437,,
1.12953162193298,9.34853641941302,,
1.22365927696228,6.59445403113068,,
1.31778693199158,22.3426167180705,,
1.41191458702087,27.2987961896831,,
1.50604224205017,25.4980692091138,,
1.60016989707947,17.3265447164894,,
1.69429755210876,18.9555138151753,,
1.78842520713806,20.7989878805961,,
1.88255286216736,17.5801447310491,,
1.97668039798737,10.6026975984221,,
2.07080817222595,10.8469182555666,,
2.16493582725525,16.5181142829631,,
2.25906324386597,14.4957315937653,,
2.35319089889526,20.6388385479777,,
2.44731855392456,23.1806454495498,,
2.54144620895386,22.1211522984781,,
2.63557386398315,16.4831698018588,,
2.72970151901245,10.9476730115645,,
2.82382917404175,10.7652668355946,,
2.91795682907104,13.0854186048701,,
3.01208448410034,7.65002413238847,,
3.10621213912964,-2.50924638531913,,
3.20033979415894,-0.980379604445858,,
3.29446744918823,4.88148750449113,,
3.38859510421753,8.04059203255747,,
3.48272275924683,9.7768136146108,,
3.57685041427612,8.46468128049693,,
3.67097806930542,0,,
3.76510572433472,-1.7030080512761,,
3.85923314094543,-5.02195409496764,,
3.95336079597473,-0.451883563481914,,
4.04748868942261,2.62618633126266,,
4.1416163444519,6.78869742594657,,
4.2357439994812,1.98490091107573,,
4.3298716545105,4.49095698485991,,
4.42399930953979,2.75458149431174,,
4.51812648773193,3.74718470568069,,
4.61225414276123,10.0309115825326,,
4.70638179779053,10.5063206378837,,
4.80050945281982,3.02597881585243,,
4.89463710784912,0.831992729597886,,
4.98876476287842,3.50726938825119,,
5.08289241790771,4.16143258254564,,
5.17702007293701,1.49553556947524,,
5.27114772796631,3.0267857388715,,
5.36527538299561,-4.38443781609976,,
5.4594030380249,-3.52291982062525,,
5.5535306930542,-4.10811865635807,,
5.6476583480835,-1.21833703096996,,
5.74178600311279,2.56998206618775,,
5.83591365814209,7.33072367921395,,
5.93004131317139,-3.59599794170506,,
6.02416896820068,-8.03990279016275,,
6.11829662322998,-14.4405696129581,,
6.21242427825928,-8.75030647740615,,
6.30655193328857,-9.30213787387046,,
6.40067958831787,-13.038176332099,,
6.49480724334717,-9.96249040220931,,
6.58893489837646,-2.11049387966256,,
6.68306255340576,-3.35112455820052,,
6.77719020843506,-4.28668150627232,,
6.87131786346436,-1.98321345662933,,
6.96544551849365,-6.61540599811161,,
7.05957317352295,-8.51623529649004,,
7.15370082855225,-15.1242569204619,,
7.24782848358154,-10.663822260863,,
7.34195613861084,-9.67836806238509,,
7.43608379364014,-8.55706071830653,,
7.53021144866943,-11.4493796407125,,
7.62433862686157,-6.52656876104274,,
7.71846628189087,2.85317980236499,,
7.81259393692017,8.05723167998096,,
7.90672159194946,3.68959526413803,,
8.00084972381592,3.50957362935134,,
8.09497737884521,5.92267755088471,,
8.18910503387451,9.36778870126531,,
8.28323268890381,9.5428908031856,,
8.37736034393311,6.71969014784324,,
8.4714879989624,5.12870135696986,,
8.5656156539917,-1.26719868878666,,
8.659743309021,-1.7213111559613,,
8.75387096405029,2.1909441442034,,
8.84799861907959,5.37864933450294,,
8.94212627410889,2.66746793956329,,
9.03625297546387,2.1728355622308,,
9.13038063049316,-6.72800581729405,,
9.22450828552246,-4.64142612290885,,
9.31863594055176,-1.40128638518888,,
9.41276359558105,-0.844842120180544,,
9.50689125061035,1.64214684544817,,
9.60101890563965,9.96843768333022,,
9.69514656066895,10.6893357561653,,
9.78927421569824,14.8613804049305,,
9.88340187072754,6.59452037153585,,
9.97752952575684,8.32835856506975,,
10.0716571807861,9.16127589831106,,
10.1657848358154,13.183167070359,,
10.2599124908447,11.7613988643548,,
10.354040145874,7.76795444604161,,
10.4481678009033,15.2195416973449,,
10.5422954559326,13.7882399372664,,
10.6364231109619,24.1404110165426,,
10.7305507659912,15.2205025288623,,
10.8246784210205,14.3802811215679,,
10.9188060760498,17.3105803517828,,
11.0129337310791,14.1489385266951,,
11.1070613861084,4.30427529353494,,
11.2011890411377,4.32207375317972,,
11.295316696167,9.51420868819852,,
11.3894443511963,11.8939451704598,,
11.4835720062256,15.7847499739496,,
11.5776996612549,4.97719777899519,,
11.6718273162842,7.02802664559243,,
11.7659549713135,14.9968092055808,,
11.8600826263428,21.1446829368356,,
11.9542102813721,18.6503898971502,,
12.0483379364014,8.99163096849165,,
12.1424655914307,5.53921574405436,,
12.23659324646,13.1981577965377,,
12.3307209014893,27.3160827362879,,
12.4248485565186,29.6410012826058,,
12.5189762115479,21.0213997483564,,
12.6131038665771,9.97074192443392,,
12.7072315216064,17.7297862947228,,
12.8013591766357,25.6938020776758,,
12.895486831665,24.2100657701663,,
12.9896144866943,20.9030372454073,,
13.0837421417236,16.7332220766667,,
13.1778697967529,14.9587123698112,,
13.2719974517822,18.9710699877814,,
13.3661251068115,21.7559825183216,,
13.4602527618408,23.5708559215126,,
13.5543804168701,19.8824852336656,,
13.6485080718994,18.2748127231598,,
13.7426357269287,27.1492829204796,,
13.836763381958,24.8361274082605,,
13.9308910369873,29.1702424763365,,
